cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
1990,827619,53491,0,0,53491,71268,1
224,960967,118,0,118,0,82076,2
0,7779,56,0,33,23,944,0
0,11169,66,0,42,24,1470,0
7327,572833,188077,65503,57038,65536,156752,1
2012,1141929,61486,61486,0,0,116934,1
578,961121,20365,0,0,20365,82750,1
0,15274,54,0,29,25,2000,0
200,960966,107,0,107,0,82062,2
0,9458,45,0,28,17,1168,0
20316,397903,137448,137449,0,0,46814,2
6985,561478,193018,65533,61949,65536,147204,1
0,960847,3249,0,69,3180,82414,1
8,12296,75,0,42,33,1516,0
0,10209,59,0,39,20,1214,0
0,11901,49,0,30,19,1422,0
608,961120,19155,0,0,19155,82750,1
8972,566311,186581,64833,56212,65536,150406,1
518,960588,19722,0,0,19722,82704,1
1764,1031562,60286,60286,0,0,105632,1
12628,707089,193897,65492,62869,65536,155796,1
3412,938184,86550,0,0,86550,82088,2
3474,939838,88484,0,0,88484,82234,2
316,960908,19012,0,0,19012,82732,1
10,840256,65311,0,0,65311,72356,1
0,9616,82,0,53,29,1122,0
2716,742586,196357,65495,65326,65536,161066,1
0,248450,49,0,30,19,23078,0
3654,1102368,79915,33252,3321,43342,105306,1
0,961249,128,0,112,16,82426,1
0,961397,291,0,291,0,82108,2
0,10800,51,0,30,21,1238,0
0,937839,97851,0,0,97851,82056,2
0,8157,138,0,93,45,1074,0
340,1143281,59732,59732,0,0,117072,1
0,7967,50,0,28,22,996,0
0,11679,57,0,34,23,1368,0
20338,397800,136153,136150,0,0,46800,2
0,960952,207,0,207,0,82080,2
0,11809,48,0,30,18,1424,0
0,961259,139,0,139,0,82092,2
0,8481,61,0,32,29,1190,0
0,961431,92,0,79,13,82454,1
480,960932,20545,0,0,20545,82734,1
0,9193,48,0,31,17,1132,0
0,960866,32,0,29,3,82384,1
0,18540,53,0,30,23,2118,0
3486,939908,98864,0,0,98864,82238,2
0,960927,83,0,74,9,82402,1
18210,354586,119714,119714,0,0,41716,2
1674,1129098,62224,62224,0,0,115626,1
154,960914,99,0,85,14,82404,1
20434,398213,130239,130236,0,0,46848,2
2818,575540,186089,65536,55015,65536,154012,1
4181,1115098,83856,25528,3118,55210,106065,1
2,836394,65327,0,0,65327,72024,1
0,8214,54,0,29,25,1160,0
12,15291,86,0,52,34,1848,0
570,960905,19486,0,0,19486,82726,1
3478,950374,92156,0,0,92156,83154,2
19958,391238,134050,134050,0,0,46028,2
518,960588,19915,0,0,19915,82704,1
0,961266,99,0,91,8,82392,1
0,961189,207,0,207,0,82114,2
1704,1144273,62016,62016,0,0,117174,1
8011,660896,188419,65337,57546,65536,154216,1
0,11279,70,0,40,30,1650,0
204,961005,108,0,101,7,82398,1
3752,1114958,81746,22479,2349,56918,106480,1
0,13929,75,0,43,32,1596,0
524,1068593,64034,64034,0,0,109424,1
3412,1085411,89973,27971,4134,57868,102578,1
0,15311,75,0,46,29,2136,0
20244,396781,133810,133812,0,0,46682,2
3422,941277,93786,0,0,93786,82358,2
4472,1155027,75930,28222,2954,44754,112252,1
11869,572821,186203,65222,55445,65536,161159,1
1698,1147405,61268,61268,0,0,117496,1
406,961160,282,0,282,0,82088,2
20358,399024,135672,135672,0,0,46944,2
0,15617,47,0,29,18,1834,0
0,240959,53,0,32,21,22542,0
4960,562287,186750,65306,55908,65536,148206,1
0,11450,53,0,30,23,1380,0
0,9102,128,0,79,49,1224,0
0,13253,50,0,28,22,1582,0
4424,1123793,79458,25751,2903,50804,107990,1
0,960601,94,0,92,2,82372,1
422,960924,19526,0,0,19526,82748,1
8,9679,141,0,93,48,1258,0
18178,355878,122443,122443,0,0,41868,2
0,13016,63,0,41,22,1648,0
0,8316,148,0,87,61,1056,0
20374,398480,128408,128408,0,0,46880,2
0,9162,57,0,36,21,1448,0
6,961159,223,0,223,0,82116,2
1985,1131944,61015,61015,0,0,115909,1
2876,783685,87355,0,0,87355,68570,2
354,960386,20712,0,0,20712,82700,1
4,13076,66,0,41,25,1562,0
624,960949,19149,0,0,19149,82730,1
3468,946148,93581,0,0,93581,82784,2
2,13220,62,0,31,31,1548,0
1776,1131770,61833,61833,0,0,115892,1
8,10804,61,0,41,20,1508,0
1790,1129734,64286,64286,0,0,115684,1
0,960967,86,0,86,0,82090,2
3410,938609,98195,0,0,98196,82124,2
0,10527,101,0,58,43,1204,0
0,16104,71,0,44,27,2010,0
4876,1146131,86193,24992,3792,57409,109688,1
36,694038,195250,65528,64186,65536,157960,1
4276,644608,195944,65536,64872,65536,159468,1
788,1144609,60354,60354,0,0,117208,1
20398,399296,133586,133586,0,0,46976,2
282,743582,195772,65529,64707,65536,162294,1
20122,396474,137749,137743,0,0,46644,2
4,833738,65308,0,0,65308,71794,1
10497,556039,186568,64999,56033,65536,149734,1
1552,1028664,62246,62246,0,0,105334,1
0,268375,55,0,28,27,24878,0
3958,1136446,70322,23582,1898,44842,109832,1
0,11240,55,0,33,22,1338,0
0,12134,49,0,31,18,1804,0
6,960981,293,0,293,0,82092,2
374,960211,18570,0,0,18570,82672,1
0,961116,95,0,95,0,82086,2
480,961365,18824,0,0,18824,82786,1
0,960955,89,0,89,0,82082,2
0,12105,67,0,43,24,1404,0
0,961071,372,0,372,0,82070,2
0,139132,188,0,106,82,12974,0
0,11901,49,0,30,19,1422,0
0,10258,53,0,29,24,1230,0
0,8717,143,0,91,52,1066,0
36,942946,97462,0,0,97462,82502,2
18024,354518,116464,116461,0,0,41708,2
0,8481,61,0,32,29,1190,0
2,961124,68,0,68,0,82064,2
0,961139,221,0,221,0,82088,2
3532,937761,91607,0,0,91607,82048,2
1288,1148333,59536,59536,0,0,117590,1
0,961017,71,0,56,15,82418,1
18078,353906,118978,118978,0,0,41636,2
0,1146719,62425,62425,0,0,117426,1
4290,1174381,88873,33274,3787,51812,113544,1
6214,722760,190750,65536,59678,65536,160691,1
0,12476,57,0,30,27,1624,0
19828,388358,132557,132557,0,0,45690,2
0,1141941,64766,64766,0,0,116935,1
0,11954,59,0,34,25,1570,0
2,961329,110,0,110,0,82138,2
3556,1149122,91886,36129,3464,52293,110618,1
410,960985,567,0,567,0,82088,2
0,961027,65277,0,0,65277,82752,1
3434,937436,94106,0,0,94106,82022,2
8,7882,63,0,41,22,1042,0
3440,941277,97196,0,0,97196,82358,2
3478,938167,90208,0,0,90208,82088,2
1688,1152319,60512,60512,0,0,117997,1
3368,912908,82524,0,0,82524,79876,2
0,9425,61,0,30,31,1164,0
1267,717408,194984,65508,63940,65536,157878,1
20022,392213,133980,133981,0,0,46142,2
0,961122,64,0,64,0,82070,2
6,961309,161,0,161,0,82118,2
2584,579615,193264,65536,62192,65536,153234,1
0,14484,53,0,30,23,1834,0
0,12147,64,0,39,25,1580,0
0,961075,100,0,92,8,82356,1
0,961047,176,0,140,36,82396,1
1500,831981,7866,0,7866,0,71096,2
0,10527,101,0,58,43,1204,0
532,961345,19905,0,0,19905,82780,1
20090,395217,134118,134118,0,0,46498,2
0,7630,59,0,38,21,924,0
630,960068,19012,0,0,19012,82672,1
8,9802,100,0,57,43,1276,0
5682,1178669,71232,27297,2333,41602,113676,1
6824,1247880,90628,29320,3871,57437,121848,1
18172,355051,121480,121480,0,0,41770,2
720,961016,21605,0,0,21605,82738,1
20194,397188,130788,130788,0,0,46728,2
0,12137,60,0,32,28,1430,0
3928,1098240,83126,26583,4188,52355,104096,1
0,6501,176,0,99,77,944,0
3262,896894,97092,0,0,97092,78474,2
20324,399398,132428,132428,0,0,46988,2
0,960833,131,0,107,24,82424,1
