eth_src,eth_dst,eth_type,ip_src,ip_dst,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,tcp_sport,tcp_dport,tcp_seq,tcp_ack,tcp_dataofs,tcp_reserved,tcp_flags,tcp_window,tcp_chksum,tcp_urgptr,tcp_options,udp_sport,udp_dport,udp_len,udp_chksum,icmp_type,icmp_code,icmp_id,icmp_seq,first_seen,last_seen,packet_count,byte_count,pkt_len_max,pkt_len_min,pkt_len_var,flow_iat,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,flow_duration,packets_per_second,bytes_per_second,payload_max
d8:80:83:ff:a5:d1,3c:f9:f0:65:18:f7,2048,192.168.1.164,172.172.255.216,4,5,0,40,52125,DF,0,128,6,49248,14004.0,443.0,1781054230.0,1232238847.0,5.0,0.0,"[<Flag 24 (PA)>, <Flag 16 (A)>]",1025.0,7394.0,0.0,[],,,,,,,,,1740288726.4053252,1740288726.7056782,2,209,155,54,"[155, 54]",[0.3003530502319336],0.3003530502319336,0.3003530502319336,0.3003530502319336,0.0,0,0,0,1,2,0,0.3003530502319336,6.658830328027611,695.8477692788854,101
d8:80:83:ff:a5:d1,3c:f9:f0:65:18:f7,2048,192.168.1.164,49.231.117.154,4,5,0,40,43874,DF,0,128,6,58783,44983.0,443.0,1571805450.0,2943157218.0,5.0,0.0,"[<Flag 2 (S)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>]",1027.0,42631.0,0.0,[],,,,,,,,,1740288726.4554746,1740288726.5389056,7,909,268,54,"[66, 54, 233, 54, 180, 268, 54]","[0.016604900360107422, 0.0, 0.0167386531829834, 0.0, 0.016637086868286133, 0.03345036506652832]",0.013905167579650879,0.03345036506652832,0.016604900360107422,0.012581754220991361,0,1,0,3,6,0,0.08343100547790527,83.90166173717977,10895.230074156629,214
3c:f9:f0:65:18:f8,d8:80:83:ff:a5:d1,2048,49.231.117.154,192.168.1.164,4,5,40,150,54549,DF,0,58,6,343,443.0,44983.0,2943157108.0,1571805450.0,5.0,0.0,"[<Flag 18 (SA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 24 (PA)>]",509.0,1624.0,0.0,[],,,,,,,,,1740288726.4717715,1740288726.5389056,10,7550,1506,54,"[66, 1506, 1506, 876, 54, 312, 54, 1506, 1506, 164]","[0.017046689987182617, 0.0, 0.0, 0.016637086868286133, 0.0, 0.016593456268310547, 0.00827932357788086, 0.008577585220336914, 0.0]",0.008391767740249634,0.017046689987182617,0.00827932357788086,0.0077595391116758086,0,1,0,5,10,0,0.06713414192199707,148.95550481033877,112461.40613180576,1452
3c:f9:f0:65:18:f7,d8:80:83:ff:a5:d1,2048,172.172.255.216,192.168.1.164,4,5,40,211,14161,DF,0,105,6,27354,443.0,14004.0,1232238676.0,1781054230.0,5.0,0.0,[<Flag 24 (PA)>],8192.0,14903.0,0.0,[],,,,,,,,,1740288726.6581638,1740288726.6581638,1,225,225,225,[225],[],0.0,0.0,inf,0.0,0,0,0,1,1,0,0.0,0.0,0.0,171
d8:80:83:ff:a5:d1,01:00:5e:00:00:fb,2048,192.168.1.164,224.0.0.251,4,5,0,156,15264,,0,255,17,56424,,,,,,,[],,,,,5353.0,5353.0,136.0,23806.0,,,,,1740288729.1948142,1740288730.0672083,7,2196,647,84,"[535, 84, 84, 84, 647, 592, 170]","[0.020502805709838867, 0.2318730354309082, 0.2679116725921631, 0.24086952209472656, 0.019736051559448242, 0.09150099754333496]",0.14539901415506998,0.2679116725921631,0.019736051559448242,0.11480153741668803,0,0,0,0,0,0,0.8723940849304199,8.023896678022872,2517.2110149911755,0
28:87:ba:66:6c:19,01:00:5e:00:00:fb,2048,192.168.1.153,224.0.0.251,4,5,0,73,63621,,0,255,17,8161,,,,,,,[],,,,,5353.0,5353.0,53.0,2870.0,,,,,1740288731.6488051,1740288731.6488051,1,87,87,87,[87],[],0.0,0.0,inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0
28:87:ba:66:6c:19,01:00:5e:7f:ff:fa,2048,192.168.1.153,239.255.255.250,4,5,0,153,27819,,0,255,17,40044,,,,,,,[],,,,,55519.0,1900.0,133.0,16083.0,,,,,1740288732.2619321,1740288732.2619321,1,167,167,167,[167],[],0.0,0.0,inf,0.0,0,0,0,0,0,0,0.0,0.0,0.0,125
d8:80:83:ff:a5:d1,28:87:ba:66:6c:19,2048,192.168.1.164,192.168.1.153,4,5,0,40,10482,DF,0,128,6,19792,44984.0,7680.0,2575925031.0,2736740904.0,5.0,0.0,"[<Flag 2 (S)>, <Flag 16 (A)>, <Flag 24 (PA)>, <Flag 16 (A)>, <Flag 17 (FA)>]",1026.0,17298.0,0.0,[],,,,,,,,,1740288733.3422198,1740288733.3551118,5,357,129,54,"[66, 54, 129, 54, 54]","[0.004563093185424805, 0.003962516784667969, 0.0, 0.004366397857666016]",0.0032230019569396973,0.004563093185424805,0.003962516784667969,0.0021631629990461936,1,1,0,1,4,0,0.012892007827758789,387.8371830673349,27691.574871007713,75
28:87:ba:66:6c:19,d8:80:83:ff:a5:d1,2048,192.168.1.153,192.168.1.164,4,5,0,40,16847,DF,0,128,6,13427,7680.0,44984.0,2736740904.0,2575925032.0,5.0,0.0,"[<Flag 18 (SA)>, <Flag 17 (FA)>, <Flag 16 (A)>]",255.0,18069.0,0.0,[],,,,,,,,,1740288733.346783,1740288733.3551118,3,174,66,54,"[66, 54, 54]","[0.003962516784667969, 0.004366397857666016]",0.004164457321166992,0.004366397857666016,0.003962516784667969,0.00028558704550981793,1,1,0,0,3,0,0.008328914642333984,360.1909887215893,20891.07734585218,0
3c:f9:f0:62:22:f9,01:00:5e:7f:ff:fa,2048,192.168.1.102,239.255.255.250,4,5,0,496,14246,DF,0,4,17,35662,,,,,,,[],,,,,53067.0,1900.0,476.0,21634.0,,,,,1740288735.9476874,1740288736.1471322,3,1435,510,458,"[458, 467, 510]","[0.0, 0.19944477081298828]",0.09972238540649414,0.19944477081298828,0.19944477081298828,0.14102874991406084,0,0,0,0,0,0,0.19944477081298828,15.041758115648893,7194.974298652054,468
