cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
3686,1104974,69221,22351,1809,45061,105834,2
5482,1147722,76885,27280,3500,46105,110810,2
0,7701,62,0,40,22,956,0
15047,638653,187871,65380,56955,65536,150208,1
9829,652659,192171,65460,61175,65536,158767,1
160,579590,191599,65536,60527,65536,145496,1
0,12616,96,0,57,39,1456,0
4582,566008,192467,65313,61618,65536,147616,1
0,15073,75,0,45,30,2072,0
6,7008,94,0,62,32,902,0
760,563677,195492,65536,64420,65536,143536,1
5186,568718,196342,65536,65270,65536,155054,1
8255,568242,192748,65475,61737,65536,149598,1
6,13498,88,0,54,34,1738,0
11967,573135,188472,65518,57418,65536,161270,1
1410,600232,194954,65504,63914,65536,150706,1
9474,657703,194141,65508,63097,65536,157464,1
58,731079,196133,65436,65161,65536,157556,1
0,10937,67,0,41,26,1456,0
4616,735059,196579,65536,65507,65536,159826,1
4782,1144268,76089,25265,2103,48721,109794,2
0,11185,51,0,32,19,1328,0
8774,552827,193955,65532,62888,65536,145960,1
11704,569678,188112,65536,57040,65536,156135,1
4,9809,116,0,75,41,1218,0
10474,633735,193553,65233,62784,65536,160990,1
10,12914,63,0,43,20,1558,0
4764,741686,195020,65536,63948,65536,163874,1
10180,655515,196435,65526,65373,65536,161684,1
3442,1095360,81699,24097,3957,53645,104066,2
0,11884,59,0,34,25,1486,0
4940,743267,196393,65527,65330,65536,162340,1
0,85645,60,0,31,29,8100,0
2,9638,58,0,34,24,1436,0
0,5984,50,0,28,22,774,0
9280,727549,195912,65347,65029,65536,163152,1
5720,735407,196536,65528,65472,65536,162142,1
11089,713058,190121,65186,59399,65536,154119,1
624,725102,196550,65534,65480,65536,157410,1
0,230077,183,0,103,80,21554,0
0,14140,60,0,32,28,1620,0
5226,1156833,80570,25119,2515,52936,110866,2
0,10194,88,0,54,34,1222,0
0,13928,71,0,41,30,1598,0
5220,1123691,90115,28244,4434,57437,107254,2
0,84134,59,0,35,24,8392,0
6705,730563,196388,65536,65316,65536,161602,1
3854,1099652,76615,22562,1865,52188,104294,2
3752,742671,196287,65429,65322,65536,161686,1
2,13720,63,0,41,22,1648,0
4544,1132084,81520,24709,3654,53157,108460,2
2782,1089057,69128,22652,1663,44813,103750,2
5192,736418,196444,65524,65384,65536,150816,1
4,12688,53,0,30,23,1458,0
10782,628692,194309,65422,63351,65536,154562,1
4,11376,60,0,32,28,1374,0
4250,1128536,81647,25880,2769,52998,107310,2
4164,1197066,91748,36979,2801,51968,115422,2
8690,560808,189407,65331,58540,65536,156218,1
3874,726797,196568,65511,65521,65536,153198,1
810,752425,196151,65501,65114,65536,150962,1
0,5522,59,0,37,22,836,0
2864,1084831,86554,28247,4366,53941,102194,2
5704,1149221,76961,23747,2280,50934,110246,2
5214,1124058,82410,26052,4776,51582,107142,2
0,9214,50,0,28,22,1186,0
4946,1139649,77021,27049,2984,46988,109120,2
4026,751707,196337,65536,65265,65536,165726,1
6060,552628,188522,65455,57531,65536,151327,1
0,11475,66,0,39,27,1360,0
1336,755407,193823,65531,62756,65536,159386,1
4,9019,49,0,31,18,1274,0
4854,1139904,64369,20053,1120,43196,109662,2
0,5779,62,0,37,25,926,0
4418,1125435,78208,23231,2304,52673,107868,2
232,744716,192669,65536,61597,65536,163026,1
0,10767,58,0,41,17,1298,0
8,9117,141,0,93,48,1214,0
2784,1080849,76877,21324,959,54594,102964,2
5264,729701,195567,64561,65470,65536,152308,1
2824,664095,194515,65536,63443,65536,148504,1
0,12318,66,0,41,25,1446,0
2718,1064650,77493,21135,1823,54535,100514,2
2626,1106214,81205,28256,3383,49566,105800,2
2916,669531,196406,65536,65334,65536,162374,1
4,10675,66,0,42,24,1432,0
0,11026,74,0,49,25,1414,0
84,744719,195365,65456,64373,65536,157038,1
0,8657,142,0,92,50,1168,0
0,10700,49,0,29,20,1306,0
