cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label,tcp_to_udp,tcp_to_icmp,pps_to_cps,kbps_to_pps,kbps_to_cps
446,961001,19565,0,0,19565,82742,1,0.0,0.0,185.5201793721973,11.614427980952842,2154.7107623318384
530,961074,19632,0,0,19632,82734,1,0.0,0.0,156.10188679245283,11.616433388933208,1813.3471698113208
5072,1126456,81280,22334,2377,56569,107532,1,0.042019480634269656,0.10642965881615474,21.201104100946374,10.475542164192984,222.09305993690853
0,961086,131,0,116,15,82410,1,7.733333333333333,116.0,82410.0,11.662249726974881,961086.0
0,961123,102,0,94,8,82452,1,11.75,94.0,82452.0,11.6567578712463,961123.0
5406,629616,192830,65322,61972,65536,156614,1,0.94561767578125,0.9487155935213252,28.97040325564188,4.0201769956708855,116.4661487236404
0,961237,23,0,12,11,82420,1,1.0909090909090908,12.0,82420.0,11.662666828439699,961237.0
6144,666038,193015,64258,63222,65536,148944,1,0.964691162109375,0.9838774938529055,24.2421875,4.471734343108819,108.40462239583333
0,961276,121,0,105,16,82474,1,6.5625,105.0,82474.0,11.65550355263477,961276.0
0,742073,196371,65491,65344,65536,159386,1,0.9970703125,0.997755416774824,159386.0,4.655822970649869,742073.0
0,1039382,65536,65536,0,0,106434,1,0.0,0.0,106434.0,9.7655072627168,1039382.0
0,1034031,65536,65536,0,0,105884,1,0.0,0.0,105884.0,9.765696422500094,1034031.0
4638,1134617,74818,24436,2584,47798,109008,1,0.05406083936566383,0.1057456212146014,23.503234152652006,10.408566343754586,244.63497197067701
1861,1140609,61922,61922,0,0,116797,1,0.0,0.0,62.76034390112842,9.765738846032004,612.9011284255777
1710,1142327,61042,61042,0,0,116976,1,0.0,0.0,68.40701754385965,9.765481808234167,668.027485380117
3482,1107394,81200,25492,2541,53168,105684,1,0.04779190490520614,0.09967833045661384,30.351522113727743,10.478350554483177,318.03388856978745
4110,1107625,84885,27808,3961,53116,105540,1,0.07457263348143686,0.1424410241657077,25.67883211678832,10.494836081106689,269.4951338199513
1842,1147343,60846,60846,0,0,117488,1,0.0,0.0,63.7828447339848,9.76561861636933,622.8789359391965
0,836867,65323,0,0,65323,72064,1,0.0,0.0,72064.0,11.612830261989343,836867.0
5854,668262,191727,65480,60711,65536,148376,1,0.9263763427734375,0.9271686010995724,25.346088144858218,4.50384159163207,114.15476597198497
0,960863,72,0,70,2,82366,1,35.0,70.0,82366.0,11.665772284680573,960863.0
682,1152523,60244,60244,0,0,118018,1,0.0,0.0,173.04692082111438,9.765654391702961,1689.91642228739
176,1143077,58660,58660,0,0,117052,1,0.0,0.0,665.0681818181819,9.765548645046646,6494.755681818182
1088,1148304,59509,59509,0,0,117586,1,0.0,0.0,108.07536764705883,9.765652373581888,1055.4264705882354
4120,1113150,73647,23269,2596,47782,106022,1,0.05433008245782931,0.1115647427908376,25.733495145631068,10.49923600762106,270.18203883495147
552,961013,18940,0,0,18940,82756,1,0.0,0.0,149.92028985507247,11.61260814925806,1740.965579710145
0,960862,70,0,53,17,82412,1,3.1176470588235294,53.0,82412.0,11.65924865310877,960862.0
1786,1140468,61865,61865,0,0,116784,1,0.0,0.0,65.38857782754759,9.765618577887382,638.5599104143337
446,960964,19520,0,0,19520,82728,1,0.0,0.0,185.48878923766816,11.615946233439706,2154.627802690583
4,829169,65301,0,0,65301,71400,1,0.0,0.0,17850.0,11.613011204481793,207292.25
0,960847,3249,0,69,3180,82414,1,0.02169811320754717,69.0,82414.0,11.658783701798239,960847.0
380,961108,21402,0,0,21402,82752,1,0.0,0.0,217.76842105263157,11.614317478731632,2529.2315789473682
0,960790,143,0,123,20,82364,1,6.15,123.0,82364.0,11.665169248700888,960790.0
1828,1149874,60923,60923,0,0,117748,1,0.0,0.0,64.41356673960613,9.765550157964466,629.0339168490153
1952,1132656,62363,62363,0,0,115984,1,0.0,0.0,59.41803278688525,9.76562284453028,580.2540983606557
3896,579031,196252,65536,65180,65536,153694,1,0.99456787109375,0.99456787109375,39.44917864476386,3.7674274857834398,148.6219199178645
378,960543,20400,0,0,20400,82698,1,0.0,0.0,218.77777777777777,11.615069288253645,2541.1190476190477
7542,652569,196174,65392,65246,65536,162822,1,0.995574951171875,0.9977673109860533,21.588703261734288,4.007867487194605,86.52466189339698
2924,1080824,74663,23322,3103,48238,102664,1,0.06432687922384842,0.13305033873595745,35.11080711354309,10.527779942336165,369.6388508891929
3780,641200,194042,65349,63157,65536,155371,1,0.9636993408203125,0.9664570230607966,41.103439153439155,4.126896267643254,169.62962962962962
14,830681,65377,0,0,65377,71530,1,0.0,0.0,5109.285714285715,11.61304347826087,59334.357142857145
1968,1147860,61846,61846,0,0,117540,1,0.0,0.0,59.72560975609756,9.765696784073507,583.2621951219512
1038,1146749,60621,60621,0,0,117428,1,0.0,0.0,113.12909441233141,9.765549954014375,1104.767822736031
7468,571635,188357,65536,57285,65536,148896,1,0.8740997314453125,0.8740997314453125,19.937868237814676,3.839156189555126,76.54459025174076
0,961358,75,0,65,10,82436,1,6.5,65.0,82436.0,11.661871027221117,961358.0
0,961219,4656,0,69,4587,82392,1,0.015042511445389144,69.0,82392.0,11.666411787552189,961219.0
0,961074,131,0,110,21,82428,1,5.238095238095238,110.0,82428.0,11.659557431940602,961074.0
1133,1147125,59828,59828,0,0,117465,1,0.0,0.0,103.67608120035304,9.76567488187971,1012.4669020300088
0,961100,130,0,120,10,82402,1,12.0,120.0,82402.0,11.663551855537486,961100.0
4276,644608,195944,65536,64872,65536,159468,1,0.9898681640625,0.9898681640625,37.29373246024322,4.042240449494569,150.75023386342377
3102,1077718,68179,21076,1635,45469,102490,1,0.035958565176273945,0.07757639020687038,33.039974210186976,10.515347838813543,347.4268214055448
