cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps,label
2,13720,63,0,41,22,1648,0
2906,782190,87375,0,0,87375,68438,2
18202,354348,116964,116961,0,0,41688,2
0,961127,58,0,45,13,82412,1
4,12688,53,0,30,23,1458,0
0,961063,48,0,32,16,82426,1
4,11376,60,0,32,28,1374,0
2886,783701,87655,0,0,87655,68570,2
20258,395001,131598,131594,0,0,46470,2
0,960784,84,0,72,12,82382,1
0,961035,56,0,44,12,82426,1
0,960915,39,0,32,7,82408,1
0,5522,59,0,37,22,836,0
0,960928,103,0,103,0,82098,2
2828,771315,86349,0,0,86349,67486,2
3404,937372,100446,0,0,100442,82018,2
0,9214,50,0,28,22,1186,0
2854,778617,87257,0,0,87257,68126,2
618,960889,19365,0,0,19365,82748,1
0,961083,143,0,123,20,82370,1
0,11475,66,0,39,27,1360,0
0,960941,69,0,59,10,82408,1
4,9019,49,0,31,18,1274,0
3366,908699,90047,0,0,90047,79506,2
0,5779,62,0,37,25,926,0
1504,827832,6665,0,6665,0,70740,2
1742,1142625,62076,62076,0,0,117004,1
0,10767,58,0,41,17,1298,0
8,9117,141,0,93,48,1214,0
20124,395488,133325,133325,0,0,46528,2
0,820477,65358,0,0,65358,70652,1
190,1146219,61241,61241,0,0,117372,1
0,12318,66,0,41,25,1446,0
0,960993,191,0,191,0,82080,2
3454,936737,91552,0,0,91552,81960,2
908,1095625,64959,64960,0,0,112192,1
4,10675,66,0,42,24,1432,0
0,11026,74,0,49,25,1414,0
690,960973,20299,0,0,20299,82732,1
0,8657,142,0,92,50,1168,0
0,10700,49,0,29,20,1306,0
3396,927176,89415,0,0,89415,81122,2
0,219175,51,0,30,21,20478,0
0,961181,67,0,61,6,82394,1
410,961266,20644,0,0,20644,82770,1
0,10522,53,0,33,20,1504,0
0,961026,290,0,290,0,82088,2
1818,1150139,61553,61553,0,0,117776,1
20196,396406,134235,134235,0,0,46636,2
102,1151247,59078,59078,0,0,117892,1
0,13639,57,0,34,23,1828,0
0,961135,109,0,109,0,82092,2
0,6918,99,0,56,43,870,0
3434,929283,86620,0,0,86620,81310,2
354,961246,20571,0,0,20571,82764,1
0,9464,57,0,32,25,1174,0
0,960859,95,0,95,0,82066,2
3122,943415,90891,0,0,90891,82546,2
0,12544,54,0,30,24,1642,0
0,960742,131,0,116,15,82406,1
1528,830960,6640,0,6640,0,71008,2
1542,1141858,61811,61811,0,0,116928,1
0,960962,54,0,43,11,82396,1
1558,1146302,61641,61641,0,0,117380,1
486,961078,19533,0,0,19533,82754,1
0,8525,54,0,30,24,1064,0
2,961194,702,0,702,0,82098,2
1814,1087180,61623,61623,0,0,111326,1
0,961199,120,0,104,16,82418,1
0,15174,73,0,43,30,2040,0
0,961207,139,0,136,3,82458,1
546,961272,19374,0,0,19374,82766,1
0,11637,142,0,92,50,1362,0
0,12861,56,0,33,23,1506,0
0,961016,51026,0,0,51026,82740,1
8,11049,75,0,44,31,1362,0
0,961203,67,0,67,0,82082,2
0,10755,64,0,40,24,1278,0
0,16016,57,0,32,25,1964,0
578,921186,93074,0,0,93074,80600,2
28,960966,23,0,12,11,82408,1
0,7153,173,0,99,74,964,0
116,961077,69,0,69,0,82074,2
0,233464,65,0,39,26,21826,0
0,961038,30,0,27,3,82418,1
0,961196,38,0,31,7,82432,1
644,947416,92849,0,0,92849,82894,2
1796,1099812,59944,59944,0,0,112620,1
4,961134,148,0,148,0,82098,2
0,961014,51,0,38,13,82426,1
218,942747,90807,0,0,90807,82488,2
508,960679,20041,0,0,20041,82716,1
3452,936138,83115,0,0,83115,81908,2
0,960846,2337,0,63,2274,82412,1
0,961117,53,0,39,14,82386,1
0,10357,50,0,31,19,1424,0
2,837720,65337,0,0,65337,72136,1
0,961112,57,0,43,14,82440,1
0,14015,65,0,42,23,2210,0
1516,824461,8062,0,8062,0,70454,2
0,961404,53,0,49,4,82414,1
2,15548,67,0,39,28,1854,0
0,10141,53,0,30,23,1372,0
8,7882,63,0,41,22,1042,0
0,207844,72,0,46,26,19506,0
8,9287,101,0,58,43,1180,0
1530,822608,7795,0,7795,0,70294,2
526,960923,19204,0,0,19204,82718,1
20156,396236,130978,130978,0,0,46616,2
4,961072,198,0,198,0,82086,2
606,1138084,59203,59203,0,0,116542,1
0,815694,65366,0,0,65366,70240,1
0,961110,71,0,60,11,82410,1
170,961215,148,0,148,0,82104,2
6,835275,65385,0,0,65385,71926,1
8,1078929,65527,65527,0,0,110482,1
4,10752,57,0,33,24,1294,0
0,14077,62,0,36,26,1792,0
0,232091,68,0,41,27,21954,0
3440,938979,91863,0,0,91863,82160,2
0,961130,45,0,30,15,82438,1
590,961117,20117,0,0,20117,82754,1
0,11954,59,0,34,25,1570,0
